"Date","Category","L","S","A","Real.estate","Private.businesses","Liabilities","C","Fixed.income","Mkt_RF","dlnL","dlnL_lag","shock_loc_raw","shock_loc","shock_glo_raw","shock_glo"
1993-01-01,"TopPt1",629328,0.267742979876988,2350493,275279,613053,31568,166133,930799,0.0339550189120001,0.0456650470995683,0.160571118624155,-0.000133432580268573,-0.00370343596480544,0.017036879842165,0.149624953009268
1993-04-01,"TopPt1",640544,0.266567787422943,2402931,270880,622875,31210,168672,993866,0.000511105649999788,0.0176652318831394,0.0456650470995683,0.0198140470444811,0.549941058511939,-0.00894280772070532,-0.0785394507314561
1993-07-01,"TopPt1",680474,0.273845268493311,2484885,267301,637821,30874,174567,1046062,0.0324331117759999,0.0604717988527241,0.0176652318831394,0.0219832305051905,0.610146984429603,0.0343560152303324,0.301728791424694
1993-10-01,"TopPt1",720583,0.277494709723134,2596745,264306,649959,31073,181813,1138733,0.0116558285899999,0.0572709924231223,0.0604717988527241,0.0443167380412742,1.23001594643953,0.0304026399543518,0.267008608188289
1994-01-01,"TopPt1",675736,0.255427884117443,2645506,258297,669414,30277,188446,1246648,-0.0455500743850001,-0.0642581393632522,0.0572709924231223,-0.0023999278584222,-0.0666102620958808,-0.0910702194567136,-0.799816482418937
1994-04-01,"TopPt1",650242,0.240615509631955,2702411,253129,693311,30640,187782,1358499,-0.0181447989760002,-0.0384578659282102,-0.0642581393632522,-0.00785592522542859,-0.218042070071001,-0.0631333804200698,-0.554463561766178
1994-07-01,"TopPt1",665072,0.239626813535396,2775449,247809,711145,30864,197713,1428232,0.045148273008,0.0225507041790198,-0.0384578659282102,-0.0304495394870225,-0.845130322901827,-0.00257839683915618,-0.0226445516709686
1994-10-01,"TopPt1",649457,0.226279653481767,2870152,243426,729194,31845,209937,1588584,-0.01897920883,-0.023758676325583,0.0225507041790198,0.00469940438463461,0.13043248640017,-0.0499603499062221,-0.438772537947015
1995-01-01,"TopPt1",704574,0.236856914453377,2974682,237138,743263,31221,225683,1620821,0.0780568794600001,0.0814567357111802,-0.023758676325583,-0.0150594832403482,-0.417977616347018,0.0560692128445571,0.492423108858848
1995-04-01,"TopPt1",764722,0.248103749610271,3082267,231825,759448,31096,246093,1661165,0.0792912636799998,0.0819190042311231,0.0814567357111802,-0.0201278646695821,-0.558651101267987,0.0546817221601699,0.480237589539844
1995-07-01,"TopPt1",842688,0.261493123101495,3222601,223821,783136,31743,256750,1730497,0.07784226608,0.0970844136454581,0.0819190042311231,-0.00308772975026835,-0.0857002793749982,0.0698390045764436,0.613355137488398
1995-10-01,"TopPt1",922683,0.27696154945237,3331448,226519,788355,34928,258215,1767290,0.0345506212160001,0.0906889474910262,0.0970844136454581,0.0464774643869247,1.28998714419706,0.0631769201090805,0.554845945394085
1996-01-01,"TopPt1",961548,0.285518647015017,3367724,228111,787550,36961,271934,1724461,0.0438684642920002,0.0412587555547486,0.0906889474910262,-0.0148807437286331,-0.413016681508729,0.0138591648601297,0.121716940552249
1996-04-01,"TopPt1",1006648,0.294847675644359,3414129,230063,791119,40724,259899,1752227,0.0328812063919999,0.0458367927028718,0.0412587555547486,0.00588437060124236,0.163321354282598,0.0193062187305749,0.169555229426437
1996-07-01,"TopPt1",1004796,0.294664867233125,3409962,235544,793198,44361,259877,1734636,0.0148681789080001,-0.00184146366823335,0.0458367927028718,-0.0184449502632744,-0.511941626524531,-0.028452522677737,-0.249881868516515
1996-10-01,"TopPt1",1062540,0.301967417734383,3518724,241785,811705,47344,259737,1760220,0.05352410625,0.055877732334471,-0.00184146366823335,-0.00942260302559937,-0.261525385006051,0.0301048898168445,0.264393642845705
1997-01-01,"TopPt1",1071446,0.306689458911273,3493586,245457,836211,50663,264045,1618788,-0.00787508838399997,0.00834686985469268,0.055877732334471,0.0210650764455349,0.584663517356446,-0.0184407157695353,-0.161954023039195
1997-04-01,"TopPt1",1280762,0.346115970666828,3700384,248939,850870,54377,254709,1604548,0.15594609572,0.178446075282016,0.00834686985469268,-0.0209652362809132,-0.58189244258859,0.152494114863828,1.33926663697069
1997-07-01,"TopPt1",1402893,0.366011839024952,3832917,254155,870204,57065,256965,1578255,0.0840569948599996,0.0910813197625391,0.178446075282016,-0.0208006539545869,-0.577324441990375,0.0621388984907778,0.545729608523717
1997-10-01,"TopPt1",1433817,0.365277170957013,3925285,258501,909118,62219,261822,1579263,0.00394095854000009,0.0218035859052979,0.0910813197625391,0.0177824665983961,0.493554319424059,-0.00560290296333088,-0.0492070203212362
1998-01-01,"TopPt1",1681139,0.402871727477055,4172889,263308,913860,65869,269179,1547466,0.12292814942,0.159131420912438,0.0218035859052979,0.00233013457461772,0.0646731418151883,0.132942882184163,1.16755959330604
1998-04-01,"TopPt1",1716828,0.403565554473997,4254149,270571,936270,69410,262482,1590224,0.00762230295800026,0.0210068622905499,0.159131420912438,0.00964440315531795,0.267681472040754,-0.00759599409231372,-0.0667111742085685
1998-07-01,"TopPt1",1471319,0.364950654288319,4031556,283404,944014,73287,274098,1619519,-0.13010840421,-0.154319124786033,0.0210068622905499,0.0192968759640453,0.53558691820087,-0.18049365656598,-1.58517023846802
1998-10-01,"TopPt1",1760496,0.404646608591721,4350700,298411,942049,70014,306805,1548490,0.20452317689,0.179436310140467,-0.154319124786033,-0.07734290180366,-2.146660759955,0.156344129625179,1.37307906524917
1999-01-01,"TopPt1",1721916,0.402212792158664,4281107,307951,912454,65336,322802,1511148,0.027121949568,-0.0221579632006659,0.179436310140467,-0.0597372299291209,-1.65801339756798,-0.0511177934813206,-0.448937688029624
1999-04-01,"TopPt1",1851996,0.420032509497813,4409173,318596,936895,61614,313165,1441722,0.0662781935720003,0.0728263520665156,-0.0221579632006659,-0.00837016114553849,-0.232314744683877,0.0474106875638053,0.416380344557857
1999-07-01,"TopPt1",1687500,0.392404353909429,4300411,330546,992534,57636,326589,1415129,-0.074488894201,-0.0930158326298969,0.0728263520665156,0.00604815686185307,0.167867259989179,-0.12010138662913,-1.05478024715868
1999-10-01,"TopPt1",2063742,0.438601315968444,4705280,346393,999732,55562,365144,1323305,0.181112764454,0.20127269604162,-0.0930158326298969,-0.0272230898304489,-0.755579857245402,0.177102761547838,1.55538999041502
2000-01-01,"TopPt1",2151748,0.452522191851922,4755011,357330,973146,53043,389558,1231096,0.0268853293160001,0.0417596952648402,0.20127269604162,0.00367604854477675,0.102029132328062,0.0124159663230669,0.109042171739439
2000-04-01,"TopPt1",1975335,0.427568629360866,4619925,376596,1020840,49232,381127,1199741,-0.063108546172,-0.085542530848647,0.0417596952648402,-0.000180632127323684,-0.00501346459300546,-0.112081911685087,-0.984349888267978
2000-07-01,"TopPt1",1905838,0.413024510949114,4614346,388359,1078578,46064,394859,1187126,-0.0130237968639999,-0.0358161973560183,-0.085542530848647,-0.0111079312368358,-0.308301855171217,-0.0601175176276916,-0.527977002444723
2000-10-01,"TopPt1",1567988,0.356669184752185,4396197,401446,1095750,42208,430791,1282927,-0.12158093972,-0.195128538028634,-0.0358161973560183,-0.0305303023824653,-0.847371905961995,-0.220304081394576,-1.93480191982293
2001-01-01,"TopPt1",1302974,0.311117998451781,4188038,423352,1096161,36172,491162,1234092,-0.138407918125,-0.185143924846502,-0.195128538028634,0.00735900565138026,0.204250012550699,-0.207518647849553,-1.82251493352614
